"sampleID" "broad.cluster" "cluster" "diagnosis"
"1470" 10 "L" "L2/3" "ASD"
"1472" 10 "L" "L2/3" "ASD"
"1473" 10 "L" "L2/3" "ASD"
"1474" 10 "L" "L2/3" "ASD"
"1475" 10 "L" "L2/3" "ASD"
"1477" 10 "L" "L2/3" "ASD"
"1478" 10 "L" "L2/3" "ASD"
"1479" 10 "L" "L2/3" "ASD"
"1480" 10 "L" "L2/3" "ASD"
"1482" 10 "L" "L2/3" "ASD"
"1483" 10 "L" "L2/3" "ASD"
"1484" 10 "L" "L2/3" "ASD"
"1485" 10 "L" "L2/3" "ASD"
"1486" 10 "L" "L2/3" "ASD"
"1487" 10 "L" "L2/3" "ASD"
"1488" 10 "L" "L4" "ASD"
"1490" 10 "L" "L2/3" "ASD"
"1491" 10 "L" "L2/3" "ASD"
"1492" 10 "L" "L2/3" "ASD"
"1493" 10 "L" "L2/3" "ASD"
"1494" 10 "L" "L2/3" "ASD"
"1507" 10 "L" "L2/3" "ASD"
"1549" 10 "L" "L5/6-CC" "ASD"
"1559" 10 "L" "L5/6-CC" "ASD"
"1582" 10 "L" "L2/3" "ASD"
"1603" 11 "L" "L5/6" "ASD"
"1604" 11 "L" "L5/6" "ASD"
"1605" 11 "L" "L5/6" "ASD"
"1606" 11 "L" "L5/6" "ASD"
"1607" 11 "L" "L5/6" "ASD"
"1610" 11 "L" "L2/3" "ASD"
"1611" 11 "L" "L2/3" "ASD"
"1612" 11 "L" "L4" "ASD"
"1613" 11 "L" "L5/6-CC" "ASD"
"1615" 11 "L" "L4" "ASD"
"1616" 11 "L" "L4" "ASD"
"1617" 11 "L" "L4" "ASD"
"1618" 11 "L" "L4" "ASD"
"1619" 11 "L" "L5/6" "ASD"
"1620" 11 "L" "L5/6-CC" "ASD"
"1621" 11 "L" "L5/6-CC" "ASD"
"1623" 11 "L" "L2/3" "ASD"
"1624" 11 "L" "L4" "ASD"
"1625" 11 "L" "L5/6" "ASD"
"1626" 11 "L" "L5/6-CC" "ASD"
"1627" 11 "L" "L5/6-CC" "ASD"
"1628" 11 "L" "L5/6-CC" "ASD"
"1629" 11 "L" "L5/6-CC" "ASD"
"1630" 11 "L" "L5/6-CC" "ASD"
"1659" 11 "L" "L5/6" "ASD"
"1746" 12 "L" "L4" "ASD"
"1804" 12 "L" "L2/3" "ASD"
"1805" 12 "L" "L2/3" "ASD"
"1806" 12 "L" "L2/3" "ASD"
"1807" 12 "L" "L2/3" "ASD"
"1808" 12 "L" "L2/3" "ASD"
"1809" 12 "L" "L2/3" "ASD"
"1811" 12 "L" "L2/3" "ASD"
"1812" 12 "L" "L2/3" "ASD"
"1813" 12 "L" "L2/3" "ASD"
"1814" 12 "L" "L2/3" "ASD"
"1816" 12 "L" "L2/3" "ASD"
"1817" 12 "L" "L2/3" "ASD"
"1818" 12 "L" "L2/3" "ASD"
"1819" 12 "L" "L2/3" "ASD"
"1820" 12 "L" "L2/3" "ASD"
"1821" 12 "L" "L5/6-CC" "ASD"
"1823" 12 "L" "L2/3" "ASD"
"1824" 12 "L" "L2/3" "ASD"
"1825" 12 "L" "L2/3" "ASD"
"1826" 12 "L" "L2/3" "ASD"
"1827" 12 "L" "L2/3" "ASD"
"1828" 12 "L" "L5/6-CC" "ASD"
"1830" 12 "L" "L2/3" "ASD"
"1831" 12 "L" "L4" "ASD"
"1832" 12 "L" "L5/6" "ASD"
"1833" 12 "L" "L5/6" "ASD"
"1834" 12 "L" "L5/6-CC" "ASD"
"1835" 12 "L" "L5/6-CC" "ASD"
"1836" 12 "L" "L5/6-CC" "ASD"
"1839" 12 "L" "L2/3" "ASD"
"1840" 12 "L" "L4" "ASD"
"1841" 12 "L" "L4" "ASD"
"1842" 12 "L" "L4" "ASD"
"1843" 12 "L" "L4" "ASD"
"1844" 12 "L" "L4" "ASD"
"1845" 12 "L" "L5/6" "ASD"
"1846" 12 "L" "L5/6-CC" "ASD"
"1871" 12 "L" "L2/3" "ASD"
"1888" 13 "L" "L5/6-CC" "Control"
"1899" 13 "L" "L2/3" "Control"
"1907" 13 "L" "L2/3" "Control"
"1912" 13 "L" "L2/3" "Control"
"1913" 13 "L" "L5/6" "Control"
"1926" 13 "L" "L2/3" "Control"
"1939" 13 "L" "L4" "Control"
"1948" 13 "L" "L2/3" "Control"
"1954" 13 "L" "L2/3" "Control"
"1963" 13 "L" "L5/6" "Control"
"1999" 13 "L" "L4" "Control"
"2098" 13 "L" "L2/3" "Control"
"2099" 13 "L" "L4" "Control"
"2106" 13 "L" "L2/3" "Control"
"2107" 13 "L" "L4" "Control"
"2125" 13 "L" "L2/3" "Control"
"2140" 13 "L" "L2/3" "Control"
"2146" 13 "L" "L2/3" "Control"
"2147" 13 "L" "L2/3" "Control"
"2148" 13 "L" "L4" "Control"
"2149" 13 "L" "L5/6-CC" "Control"
"2152" 13 "L" "L2/3" "Control"
"2153" 13 "L" "L2/3" "Control"
"2154" 13 "L" "L2/3" "Control"
"2155" 13 "L" "L2/3" "Control"
"2156" 13 "L" "L2/3" "Control"
"2157" 13 "L" "L4" "Control"
"2160" 13 "L" "L2/3" "Control"
"2161" 13 "L" "L2/3" "Control"
"2162" 13 "L" "L2/3" "Control"
"2163" 13 "L" "L2/3" "Control"
"2164" 13 "L" "L2/3" "Control"
"2165" 13 "L" "L2/3" "Control"
"2166" 13 "L" "L2/3" "Control"
"2167" 13 "L" "L2/3" "Control"
"2168" 13 "L" "L5/6-CC" "Control"
"2170" 13 "L" "L2/3" "Control"
"2171" 13 "L" "L2/3" "Control"
"2172" 13 "L" "L2/3" "Control"
"2173" 13 "L" "L2/3" "Control"
"2174" 13 "L" "L2/3" "Control"
"2175" 13 "L" "L5/6-CC" "Control"
"2177" 13 "L" "L2/3" "Control"
"2178" 13 "L" "L2/3" "Control"
"2179" 13 "L" "L2/3" "Control"
"2180" 13 "L" "L2/3" "Control"
"2181" 13 "L" "L2/3" "Control"
"2182" 13 "L" "L2/3" "Control"
"2183" 13 "L" "L2/3" "Control"
"2185" 13 "L" "L2/3" "Control"
"2186" 13 "L" "L2/3" "Control"
"2187" 13 "L" "L2/3" "Control"
"2188" 13 "L" "L2/3" "Control"
"2189" 13 "L" "L2/3" "Control"
"2190" 13 "L" "L2/3" "Control"
"2191" 13 "L" "L4" "Control"
"2192" 13 "L" "L5/6" "Control"
"2194" 13 "L" "L2/3" "Control"
"2195" 13 "L" "L2/3" "Control"
"2196" 13 "L" "L5/6-CC" "Control"
"2198" 13 "L" "L2/3" "Control"
"2199" 13 "L" "L2/3" "Control"
"2200" 13 "L" "L2/3" "Control"
"2201" 13 "L" "L2/3" "Control"
"2202" 13 "L" "L2/3" "Control"
"2203" 13 "L" "L5/6-CC" "Control"
"2206" 13 "L" "L2/3" "Control"
"2207" 13 "L" "L2/3" "Control"
"2208" 13 "L" "L2/3" "Control"
"2209" 13 "L" "L2/3" "Control"
"2211" 13 "L" "L2/3" "Control"
"2212" 13 "L" "L2/3" "Control"
"2213" 13 "L" "L2/3" "Control"
"2214" 13 "L" "L4" "Control"
"2216" 13 "L" "L2/3" "Control"
"2217" 13 "L" "L2/3" "Control"
"2218" 13 "L" "L2/3" "Control"
"2219" 13 "L" "L2/3" "Control"
"2220" 13 "L" "L2/3" "Control"
"2221" 13 "L" "L4" "Control"
"2223" 13 "L" "L5/6" "Control"
"2224" 13 "L" "L5/6" "Control"
"2225" 13 "L" "L5/6" "Control"
"2226" 13 "L" "L5/6" "Control"
"2227" 13 "L" "L5/6" "Control"
"2228" 13 "L" "L5/6" "Control"
"2229" 13 "L" "L5/6" "Control"
"2230" 13 "L" "L5/6-CC" "Control"
"2232" 13 "L" "L5/6" "Control"
"2233" 13 "L" "L5/6" "Control"
"2234" 13 "L" "L5/6" "Control"
"2237" 13 "L" "L2/3" "Control"
"2238" 13 "L" "L4" "Control"
"2239" 13 "L" "L5/6-CC" "Control"
"2240" 13 "L" "L5/6-CC" "Control"
"2241" 13 "L" "L5/6-CC" "Control"
"2242" 13 "L" "L5/6-CC" "Control"
"2243" 13 "L" "L5/6-CC" "Control"
"2246" 13 "L" "L2/3" "Control"
"2247" 13 "L" "L4" "Control"
"2248" 13 "L" "L5/6" "Control"
"2249" 13 "L" "L5/6-CC" "Control"
"2250" 13 "L" "L5/6-CC" "Control"
"2251" 13 "L" "L5/6-CC" "Control"
"2253" 13 "L" "L2/3" "Control"
"2254" 13 "L" "L4" "Control"
"2255" 13 "L" "L4" "Control"
"2256" 13 "L" "L4" "Control"
"2257" 13 "L" "L4" "Control"
"2258" 13 "L" "L5/6-CC" "Control"
"2260" 13 "L" "L2/3" "Control"
"2261" 13 "L" "L4" "Control"
"2262" 13 "L" "L4" "Control"
"2263" 13 "L" "L4" "Control"
"2264" 13 "L" "L4" "Control"
"2265" 13 "L" "L5/6" "Control"
"2266" 13 "L" "L5/6-CC" "Control"
"2268" 13 "L" "L2/3" "Control"
"2269" 13 "L" "L4" "Control"
"2270" 13 "L" "L4" "Control"
"2271" 13 "L" "L4" "Control"
"2272" 13 "L" "L5/6-CC" "Control"
"2273" 13 "L" "L2/3" "Control"
"2274" 13 "L" "L4" "Control"
"2275" 13 "L" "L4" "Control"
"2276" 13 "L" "L4" "Control"
"2277" 13 "L" "L4" "Control"
"2278" 13 "L" "L4" "Control"
"2279" 13 "L" "L4" "Control"
"2280" 13 "L" "L4" "Control"
"2281" 13 "L" "L4" "Control"
"2282" 13 "L" "L4" "Control"
"2283" 13 "L" "L5/6-CC" "Control"
"2285" 13 "L" "L2/3" "Control"
"2286" 13 "L" "L4" "Control"
"2287" 13 "L" "L5/6-CC" "Control"
"2291" 13 "L" "L2/3" "Control"
"2292" 13 "L" "L4" "Control"
"2293" 13 "L" "L4" "Control"
"2294" 13 "L" "L5/6-CC" "Control"
"2295" 13 "L" "L5/6-CC" "Control"
"2297" 13 "L" "L2/3" "Control"
"2298" 13 "L" "L4" "Control"
"2299" 13 "L" "L4" "Control"
"2300" 13 "L" "L4" "Control"
"2301" 13 "L" "L4" "Control"
"2302" 13 "L" "L5/6-CC" "Control"
"2303" 13 "L" "L5/6-CC" "Control"
"2305" 14 "L" "L2/3" "Control"
"2306" 14 "L" "L4" "Control"
"2307" 14 "L" "L4" "Control"
"2308" 14 "L" "L4" "Control"
"2309" 14 "L" "L4" "Control"
"2310" 14 "L" "L4" "Control"
"2311" 14 "L" "L4" "Control"
"2312" 14 "L" "L4" "Control"
"2313" 14 "L" "L4" "Control"
"2314" 14 "L" "L5/6-CC" "Control"
"2316" 14 "L" "L4" "Control"
"2317" 14 "L" "L4" "Control"
"2318" 14 "L" "L4" "Control"
"2319" 14 "L" "L4" "Control"
"2320" 14 "L" "L5/6" "Control"
"2321" 14 "L" "L5/6-CC" "Control"
"2324" 14 "L" "L2/3" "Control"
"2325" 14 "L" "L4" "Control"
"2326" 14 "L" "L4" "Control"
