"sampleID" "broad.cluster" "cluster" "diagnosis"
"mc_L_265" 7 "L" "L2/3" "Control"
"mc_L_266" 7 "L" "L2/3" "Control"
"mc_L_267" 7 "L" "L4" "Control"
"mc_L_268" 7 "L" "L5/6-CC" "Control"
"mc_L_269" 7 "L" "L2/3" "Control"
"mc_L_270" 7 "L" "L2/3" "Control"
"mc_L_271" 7 "L" "L2/3" "Control"
"mc_L_272" 7 "L" "L2/3" "Control"
"mc_L_273" 8 "L" "L2/3" "Control"
"mc_L_274" 8 "L" "L2/3" "Control"
"mc_L_275" 8 "L" "L2/3" "Control"
"mc_L_276" 8 "L" "L2/3" "Control"
"mc_L_277" 8 "L" "L4" "Control"
"mc_L_278" 8 "L" "L5/6-CC" "Control"
"mc_L_279" 8 "L" "L4" "Control"
"mc_L_280" 8 "L" "L4" "Control"
"mc_L_281" 8 "L" "L5/6-CC" "Control"
"mc_L_282" 8 "L" "L5/6" "Control"
"mc_L_283" 8 "L" "L5/6" "Control"
"mc_L_284" 8 "L" "L5/6" "Control"
"mc_L_285" 8 "L" "L5/6" "Control"
"mc_L_286" 8 "L" "L5/6" "Control"
"mc_L_287" 8 "L" "L5/6-CC" "Control"
"mc_L_288" 8 "L" "L2/3" "Control"
"mc_L_289" 8 "L" "L4" "Control"
"mc_L_290" 8 "L" "L5/6-CC" "Control"
"mc_L_291" 8 "L" "L5/6-CC" "Control"
"mc_L_292" 8 "L" "L5/6-CC" "Control"
"mc_L_293" 8 "L" "L5/6-CC" "Control"
"mc_L_294" 8 "L" "L5/6-CC" "Control"
"mc_L_295" 9 "L" "L5/6-CC" "ASD"
"mc_L_296" 9 "L" "L5/6" "ASD"
"mc_L_297" 9 "L" "L5/6" "ASD"
"mc_L_298" 9 "L" "L5/6" "ASD"
"mc_L_299" 9 "L" "L5/6" "ASD"
"mc_L_300" 9 "L" "L2/3" "ASD"
"mc_L_301" 9 "L" "L4" "ASD"
"mc_L_302" 9 "L" "L5/6-CC" "ASD"
"mc_L_303" 9 "L" "L5/6-CC" "ASD"
"mc_L_304" 9 "L" "L5/6-CC" "ASD"
"mc_L_305" 9 "L" "L2/3" "ASD"
"mc_L_306" 9 "L" "L2/3" "ASD"
"mc_L_307" 9 "L" "L2/3" "ASD"
"mc_L_308" 9 "L" "L2/3" "ASD"
"mc_L_309" 9 "L" "L2/3" "ASD"
"mc_L_310" 9 "L" "L2/3" "ASD"
"mc_L_311" 9 "L" "L5/6-CC" "ASD"
"mc_L_312" 9 "L" "L2/3" "ASD"
"mc_L_313" 9 "L" "L4" "ASD"
"mc_L_314" 9 "L" "L5/6-CC" "ASD"
"mc_L_315" 9 "L" "L5/6-CC" "ASD"
"mc_L_316" 9 "L" "L2/3" "ASD"
"mc_L_317" 9 "L" "L2/3" "ASD"
"mc_L_318" 9 "L" "L2/3" "ASD"
"mc_L_319" 9 "L" "L4" "ASD"
"mc_L_320" 9 "L" "L4" "ASD"
"mc_L_321" 9 "L" "L5/6" "ASD"
"mc_L_322" 9 "L" "L5/6-CC" "ASD"
"mc_L_323" 9 "L" "L5/6-CC" "ASD"
"mc_L_324" 9 "L" "L5/6-CC" "ASD"
"mc_L_325" 10 "L" "L2/3" "ASD"
"mc_L_326" 10 "L" "L4" "ASD"
"mc_L_327" 10 "L" "L4" "ASD"
"mc_L_328" 10 "L" "L4" "ASD"
"mc_L_329" 10 "L" "L4" "ASD"
"mc_L_330" 10 "L" "L4" "ASD"
"mc_L_331" 10 "L" "L2/3" "ASD"
"mc_L_332" 10 "L" "L4" "ASD"
"mc_L_333" 10 "L" "L4" "ASD"
"mc_L_334" 10 "L" "L2/3" "ASD"
"mc_L_335" 10 "L" "L4" "ASD"
"mc_L_336" 10 "L" "L4" "ASD"
"mc_L_337" 10 "L" "L4" "ASD"
"mc_L_338" 10 "L" "L5/6" "ASD"
"mc_L_339" 10 "L" "L5/6-CC" "ASD"
"mc_L_340" 10 "L" "L2/3" "ASD"
"mc_L_341" 10 "L" "L2/3" "ASD"
"mc_L_342" 10 "L" "L2/3" "ASD"
"mc_L_343" 10 "L" "L2/3" "ASD"
"mc_L_344" 10 "L" "L2/3" "ASD"
"mc_L_345" 10 "L" "L2/3" "ASD"
"mc_L_346" 10 "L" "L2/3" "ASD"
"mc_L_347" 10 "L" "L2/3" "ASD"
"mc_L_348" 10 "L" "L2/3" "ASD"
"mc_L_349" 10 "L" "L2/3" "ASD"
"mc_L_350" 10 "L" "L2/3" "ASD"
"mc_L_351" 10 "L" "L2/3" "ASD"
"mc_L_352" 10 "L" "L2/3" "ASD"
"mc_L_353" 10 "L" "L2/3" "ASD"
"mc_L_354" 10 "L" "L2/3" "ASD"
"mc_L_355" 10 "L" "L2/3" "ASD"
"mc_L_356" 10 "L" "L2/3" "ASD"
"mc_L_357" 10 "L" "L2/3" "ASD"
"mc_L_358" 10 "L" "L2/3" "ASD"
"mc_L_359" 10 "L" "L2/3" "ASD"
"mc_L_360" 10 "L" "L2/3" "ASD"
"mc_L_361" 10 "L" "L2/3" "ASD"
"mc_L_362" 10 "L" "L2/3" "ASD"
"mc_L_363" 10 "L" "L2/3" "ASD"
"mc_L_364" 10 "L" "L2/3" "ASD"
"mc_L_365" 10 "L" "L2/3" "ASD"
"mc_L_366" 10 "L" "L2/3" "ASD"
"mc_L_367" 10 "L" "L2/3" "ASD"
"mc_L_368" 10 "L" "L2/3" "ASD"
"mc_L_369" 10 "L" "L2/3" "ASD"
"mc_L_370" 10 "L" "L4" "ASD"
"mc_L_371" 10 "L" "L2/3" "ASD"
"mc_L_372" 10 "L" "L2/3" "ASD"
"mc_L_373" 10 "L" "L2/3" "ASD"
"mc_L_374" 10 "L" "L2/3" "ASD"
